"","gname","times"
"2900","Sword of Islam",1
"2901","Symbionese Liberation Army (SLA)",7
"2902","Sympathizers of Al-Qaida Organization",4
"2903","Sympathizers of ""Iranian People's Zeda'i""",1
"2904","Syndicalist Action Groups",2
"2905","Syrian Army deserters",1
"2906","Syrian Battle Front",1
"2907","Syrian Mujahideen",2
"2908","Syrians",2
"2909","Syrian Social Nationalist Party",8
"2910","Syrian Terror",1
"2911","SYS",2
"2912","Ta'ang National Liberation Army (TNLA)",1
"2913","Tabu Tribe",1
"2914","Tacayana Indians",1
"2915","Taihikai (Great Sadness)",1
"2916","Taikosha, right wing group",1
"2917","Tajamo Ansar al-Islam",1
"2918","Tajik Rebels",1
"2919","Takfir wal-Hijra (Excommunication and Exodus)",10
"2920","Taliban",5502
"2921","Taliban (Pakistan)",38
"2922","Tamil Eelam Liberation Organization (TELO)",8
"2923","Tamil Liberation Army",2
"2924","Tamil Makkal Viduthalai Pulikal (TMVP)",4
"2925","Tamil Nadu Liberation Army",6
"2926","Tamils",217
"2927","Tanyus Shanin Armed Unit",1
"2928","Tanzeem al-Islami al-Furqan",2
"2929","Tanzeem Ittehad - I - Ulema Qabail (Tiuq)Tribesmen",1
"2930","Tanzim",5
"2931","Tarok Militia",2
"2932","Tawheedul Islam",1
"2933","Tawhid and Jihad",50
"2934","Tawhid and Jihad (Palestine)",2
"2935","Taxi Drivers",6
"2936","Tayeb Al-Afghani's Islamist Group",1
"2937","Tehama Movement",1
"2938","Tehrik al-Mojahedin",6
"2939","Tehrik-e-Galba Islam",2
"2940","Tehrik-e-Khilafat",14
"2941","Tehrik-e-Nafaz-e-Shariat-e-Mohammadi (TNSM)",4
"2942","Tehrik-e-Nifaz-e-Aman Balochistan-Jhalawan Brigade (TNAB-Jhalawan Brigade)",1
"2943","Tehrik-e-Taliban Islami (TTI)",1
"2944","Tehrik-e-Tuhafaz (Pakistan)",2
"2945","Tehrik-i-Taliban Pakistan (TTP)",1153
"2946","Tela Mohammed",1
"2947","Telangana Separatists",2
"2948","Temple Mount Faithful Movement",1
"2949","Tepi Youth",2
"2950","Terai Army",10
"2951","Terai Cobra",2
"2952","Terai Communist Party",2
"2953","Terai Janatantrik Madhes Party",1
"2954","Terai Janatantrik Party",1
"2955","Terai Madheshi Mukti Morcha (TMMM)",1
"2956","Terai Rastriya Mukti Sena (TRMS)",1
"2957","Terena Indians",2
"2958","Terra Lliure",62
"2959","Territorial Anti-Fascist Patrols",1
"2960","Territorial Armed Groups for Communism",1
"2961","Territorial Cells for Boycotting the Elections",1
"2962","Territorial Communist Command",1
"2963","Territorial Communist Units",1
"2964","Territorial Patrols of Anti-Fascist Vigilance",1
"2965","Territorial Resistance Army",3
"2966","Terror Against Terror",7
"2967","Terrorists",59
"2968","Thai Communists",1
"2969","Thai Islamic Militants",58
"2970","Tharuhat Joint Struggle Committee (TJSC)",2
"2971","Thavar Caste",1
"2972","The Aref Boluki Dynamite group",1
"2973","The Armed Secret Organization",1
"2974","The Association for Islamic Mobilisation and Propagation (UAMSHO)",4
"2975","The Black Sun",1
"2976","The Call of Jesus Christ",1
"2977","The Eradication of Evil",2
"2978","The Extraditables",109
"2979","The Front for the Liberation of the Cabinda Enclave – Renewed (FLEC)",2
"2980","The Great Serpent",1
"2981","The Husayn Ubayyat Martyrs’ Brigades",1
"2982","The Illegal Fisherman of the Night",1
"2983","The Inevitables",1
"2984","The Irish Volunteers",1
"2985","The Islamic Movement",1
"2986","The Islamic Revolution to Liberate Palestine",1
"2987","The Jean Marc Rouillan Armed and Heartless Columns",1
"2988","The Jewish Execution with Silence",1
"2989","The Joint Revolutionary Council",7
"2990","The Justice Department",16
"2991","The Nation's Army",1
"2992","The New Irish Republican Army",27
"2993","The Northern Alliance (or United Islamic Front for Salvation of Afghanistan – UIFSA)",4
"2994","The Order II (Bruder Schweigen Strike Force II)",3
"2995","The Order (Silent Brotherhood)",8
"2996","The Ordinary Men",1
"2997","The Organization for the Return of Legality",1
"2998","The Scorpion",2
"2999","The Third Way (Der III. Weg)",1
"3000","The United Revolutionary Front of Bhutan",2
"3001","The United Southern Front",1
"3002","The Unit of the Chemical Weapons Martyrs",1
"3003","The War That Was Never Declared",1
"3004","The World United Formosans for Independence (WUFI)",1
"3005","Thomas Muenzer Wild Band",1
"3006","Three Stars Autonomous Commando",1
"3007","Thunder of Zion",1
"3008","Tibetan separatists",1
"3009","Ticuna Indian",1
"3010","Tigers",1
"3011","Tigray Peoples Liberation Front (TPLF)",10
"3012","Timorese guerrillas",2
"3013","Timorese Students",3
"3014","Tiv Militia",1
"3015","Togolese Dissidents",3
"3016","Togolese Peoples Rally",1
"3017","Tolib Ayombekov loyalists",1
"3018","Tonino Micciche Workers Nucleus",1
"3019","Tontons Macoutes",3
"3020","Tony El Pelou Band",2
"3021","Toposa and Dongiro Tribes",1
"3022","Tribal Battlefront",6
"3023","Tribal Clash",1
"3024","Tribal Group",44
"3025","Tribal guerrillas",2
"3026","Tribal Separatists",2
"3027","Tribal Thumb",1
"3028","Tribesmen",103
"3029","Tribesmen, al-Itada",1
"3030","Tribesmen Murad Tribe",4
"3031","Trinitarians",1
"3032","Tripoli Martyrs Battalion",2
"3033","Tripoli Province of the Islamic State",144
"3034","Tripura Nationalists",1
"3035","Tripura National Volunteers (TNV)",29
"3036","Tripura Separatists",1
"3037","Tritiya Prastuti Committee (India)",9
"3038","Tuareg Guerrillas",17
"3039","Tuaregs",40
"3040","Tucayana Amerindians",1
"3041","Tulawie Clan",1
"3042","Tunisian Armed Resistance",1
"3043","Tupac Amaru Revolutionary Movement (MRTA)",557
"3044","Tupac Katari Guerrilla Army (EGTK)",22
"3045","Tupamaro Revolutionary Movement",4
"3046","Tupamaros (Uruguay)",41
"3047","Turkestan Islamic Party",2
"3048","Turkish Communist Party/Marxist (TKP-ML)",31
"3049","Turkish Communist Workers Party",3
"3050","Turkish Hezbollah",6
"3051","Turkish Islamic Commandos",1
"3052","Turkish Islamic Jihad",2
"3053","Turkish Leftists",9
"3054","Turkish Marxist Workers Party",1
"3055","Turkish People's Liberation Army",69
"3056","Turkish People's Liberation Front (TPLF)(THKP-C)",36
"3057","Turkish radicals",1
"3058","Turkish Revenge Brigade",1
"3059","Turkish Revolutionaries",1
"3060","Turkish separatists (probably Kurds)",2
"3061","Turks",3
"3062","Turks of Western Thrace",1
"3063","Tutsi",22
"3064","Tyrolean Defense League",1
"3065","Tyrol Separatists",2
"3066","Uganda Democratic Christian Army (UDCA)",1
"3067","Uganda Federal Army",1
"3068","Uganda Federal Democratic Alliance (UFEDA)",1
"3069","Uganda Freedom Movement (UFM)",19
"3070","Uganda National Liberation Front (UNLF)",1
"3071","Ugandan People's Democratic Army",1
"3072","Ugandan Rebels",4
"3073","Uganda People's Army",15
"3074","U/I Asian Gang",1
"3075","U/I Catholic Traditionalists",1
"3076","Uighur Liberation Organization",1
"3077","Uighur Separatists",83
"3078","U/I Islamic Separatists",2
"3079","U/I Liberian Gunmen",2
"3080","U/I Liberians",1
"3081","U/I Militia Group led by Raul Martinez",1
"3082","U/I Private army of wral politician",1
"3083","U/I Snipers",2
"3084","U/I Somali Militiamen",2
"3085","Ujjan Tribe",1
"3086","Ukrainian Insurgent Army",2
"3087","Ukrainian Liberation Front",1
"3088","Ukrainian Nationalist Group",6
"3089","U/l men",1
"3090","Ulster Freedom Fighters (UFF)",257
"3091","Ulster Volunteer Force (UVF)",267
"3092","Ultra Conservative Clerical Group",1
"3093","Ultra Nationalist Group, name not given",1
"3094","Umar al-Mukhtar Martyr Forces",2
"3095","Umbane People's Liberation Army (Swaziland)",2
"3096","Ummah Liberation Army",1
"3097","Unaffiliated Individual(s)",545
"3098","Unarmed Algerian",1
"3099","Unemployed Persons",6
"3100","Unidad Militar Bolivariana",1
"3101","Unidentified Infiltrators",1
"3102","Unification Army Sons Brigade",1
"3103","Unified Communist Party of Nepal (Maoist)",1
"3104","Unified Kurdish Socialist Party",1
"3105","Unified Workers Command",1
"3106","Union Du People Corse",1
"3107","Unione di u Populu Corsu (UPC)",1
"3108","Union Guerrera Blanca (UGB)",14
"3109","Union members",2
"3110","Union of Chadian Forces (UFNT)",1
"3111","Union of Congolese Patriots (UPC)",3
"3112","Union of Democratic Forces",1
"3113","Union of Forces for Democracy and Development (UFDD)",3
"3114","Union of Galilee Christians",1
"3115","Union of Peaceful Citizens of Algeria",1
"3116","Union of Revolutionary Communists in Turkey (TIKB)",1
"3117","Union of the Peoples of the Arabian Peninsula",1
"3118","Union of the People (UDP)",21
"3119","Union of Young Kurdish Revolutionaries",1
"3120","Union Parishad",1
"3121","United Achik Liberation Army (UALA)",3
"3122","United Action Council",3
"3123","United Arab Revolution",1
"3124","United Aryan Empire",1
"3125","United Baloch Army (UBA)",74
"3126","United Bengali Liberation Front (UBLF)",3
"3127","United Democratic Front (UDF)",2
"3128","United Democratic Liberation Army (UDLA)",9
"3129","United Democratic Madhesi Front (UDMF)",7
"3130","United Democratic Terai Liberation Front (UDTLF)",1
"3131","United Freedom Front (UFF)",29
"3132","United Front for Democracy Against Dictatorship",24
"3133","United Front for Democratic Change (FUC)",4
"3134","United Front for Nigeria's Liberation (UFNL)",1
"3135","United Garo Security Force (UGSF)",1
"3136","United Gorkha People's Organization (UGPO)",1
"3137","United Janatantrik Terai Mukti Morcha (U-JTMM)",1
"3138","United Jewish Underground",1
"3139","United Jihad Council",1
"3140","United Karbi Liberation Army (UKLA)",1
"3141","United Kuki Liberation Front (UKLF) - India",4
"3142","United Liberation Front for the New Algeria",1
"3143","United Liberation Front of Assam (ULFA)",314
"3144","United Liberation Front of Barak Valley (ULFBV) - India",2
"3145","United Liberation Movement for Democracy in Liberia (ULIMO)",2
"3146","United Liberation Torchbearers Forces",5
"3147","United Nasirite Organizaiton",1
"3148","United National Liberation Front of WESEA (UNLFW)",1
"3149","United National Liberation Front (UNLF)",26
"3150","United National Party",2
"3151","United Nicaraguan Opposition",5
"3152","United People's Democratic Front (UPDF) - Bangladesh",6
"3153","United People's Democratic Solidarity (UPDS)",7
"3154","United People's Front",1
"3155","United Popular Action Front (FAPU)",13
"3156","United Popular Action Movement",109
"3157","United Popular Liberation Army of America",1
"3158","United Revolutionary Front",8
"3159","United Self Defense Units of Colombia (AUC)",67
"3160","United Somali Congress",3
"3161","United Students Forum",1
"3162","United Tribal Liberation Army (UTLA)",2
"3163","United Wa State Army",1
"3164","Universal Liberation Front",2
"3165","Universal Proutist Revolutionary Federation",2
"3166","Unk Iranian Guerrillas",1
"3167","unk masked raiders",1
"3168","Unk (men in army uniforms with arms and gas masks)",1
"3169","Unknown",71922
"3170","unknown leftists opposed to summit",2
"3171","unk, protest against USSR invasion of Afghanistan",1
"3172","Unsubordinated Desires",1
"3173","Up the IRS, Inc",8
"3174","Urban Guerrillas",4
"3175","Urban Guerrilla War",1
"3176","Urhobo Gbagbako",2
"3177","Urhobo Revolutionary Army",1
"3178","Valais Group Against Hydro-Rhone",1
"3179","Vandalicia Teodoro Suarez",1
"3180","Vanguard of Red Youth (AKM)",1
"3181","Vanguards of the Caliphate",1
"3182","Vanuatu Mobile Force (VMF)",2
"3183","Venceremos",1
"3184","Venezuela Cartel",1
"3185","Vengence Party",1
"3186","Veterans United for Non-Religious Memorials",2
"3187","Vietnamese",1
"3188","Vietnamese Detainees",1
"3189","Vietnamese Organization to Exterminate Communists and Restore the Nation",3
"3190","Vietnamese Refugees",2
"3191","Vigilante Group",27
"3192","Vigorous Burmese Student Warriors",2
"3193","Village League",1
"3194","Villagers",6
"3195","Vincente Mecha Revolutionary Christians",1
"3196","Vishwa Hindu Parishad (VHP)",9
"3197","Viviana Gallardo Command",1
"3198","Volunteers of Innocent People of Nagas (VIPN)",1
"3199","Vyborg Brigade",1
"3200","Wahhabi Movement",1
"3201","Waltraud Boock Group",3
"3202","War Veterans",1
"3203","Weather Underground, Weathermen",45
"3204","Welsh Extremists",5
"3205","Welsh nationalists",1
"3206","Western Somalia Liberation Front",1
"3207","West Indonesia Mujahideen",1
"3208","West Nile Bank Front (WNBF)",1
"3209","West Side Boys",1
"3210","We Who Built Sweden",1
"3211","White Extremists",66
"3212","White Guard",1
"3213","White Legion (Ecuador)",1
"3214","White Legion (Georgia)",3
"3215","White Liberation Army",1
"3216","White Mercenaries",2
"3217","White Panther Party",1
"3218","White Wolves",11
"3219","White Wolves (UK)",1
"3220","Wild Cats",1
"3221","Wild Freedom",1
"3222","Wild Geese of the Cities",1
"3223","Wit Kommando",1
"3224","Wolves of Islam",1
"3225","Worker Autonomy, Continuous Struggle",3
"3226","Worker Counterpower",2
"3227","Worker's Brigade",1
"3228","Workers Brigade for Communism",6
"3229","Workers/Employees",8
"3230","Workers' Forces of Liberation",1
"3231","Workers of the Company",1
"3232","Workers' Organization for Communism",2
"3233","Workers Power",1
"3234","Workers' Revolutionary Party",1
"3235","Workers' Self-Defense Movement (MAO)",15
"3236","Working People's Alliance (WPA)",1
"3237","World Church of the Creator",6
"3238","World Punishment Organization",1
"3239","Worldwide Organization of Native Taiwanese",1
"3240","Xhosa Tribal Workers",1
"3241","Yakariya Bango Insurgent Group",2
"3242","Yamaguchi-Gumi Gang",1
"3243","Yarmouk Martyrs Brigade",2
"3244","Yatama",2
"3245","Yazbik Revolutionary Organization",1
"3246","Yekbun",1
"3247","Yellow Organization of Air Force Officers",3
"3248","Yemenis",4
"3249","Yich Telga",1
"3250","Yimchunger Liberation Front (YLF)",1
"3251","Yokoku Seiwa-Kai",1
"3252","Young Brigade of Navarro",1
"3253","Young Communist League",10
"3254","Young Cuba",2
"3255","Young Liberators of Pattani",1
"3256","Young Officer Union of the New Generation and Reformist Armed Forces of the Philippines (YOU-RAFP)",1
"3257","Young Pioneers",1
"3258","Youth Action Group",6
"3259","Youth for Revolution",1
"3260","Youth Gang",1
"3261","Youth of Islamic Awakening",1
"3262","Youth of the Land of Egypt",1
"3263","Youth of the Star",1
"3264","Youths",22
"3265","Youths of Ali Movement",2
"3266","Zaghawa ethnic group",1
"3267","Zairian Dissidents",1
"3268","Zapatista National Liberation Army",24
"3269","Zarate Willka Armed Forces of Liberation",5
"3270","Zawiya Martyrs Brigade",1
"3271","Zebra killers",20
"3272","Zehri Youth Force (ZYF)",1
"3273","Zeliangrong United Front",9
"3274","Zemun Clan",1
"3275","Zero Point",1
"3276","Zero Tolerance",5
"3277","Zetas",2
"3278","Zimbabwe African Nationalist Union (ZANU)",24
"3279","Zimbabwe African People's Union",13
"3280","Zimbabwe Guerrillas",4
"3281","Zimbabwe Patriotic Front",9
"3282","Zimbabwe People's Army (ZIPA)",2
"3283","Zintani Militia",1
"3284","Zionist Resistance Fighters",1
"3285","Zomi Revolutionary Army (ZRA)",2
"3286","Zulu Militants",1
"3287","Zulu Miners",1
"3288","Zuwar al-Imam Rida",1
"3289","Zviadists",1
"3290","Zwai Tribe",1
